,Year,Country,Gold,Silver,Bronze,Medal
36,2021.0,Uganda,2,1.0,1.0,4.0
37,2021.0,Ecuador,2,1.0,0.0,3.0
38,2021.0,Ireland,2,0.0,2.0,4.0
39,2021.0,Israel,2,0.0,2.0,4.0
40,2021.0,Qatar,2,0.0,1.0,3.0
41,2021.0,Bahamas,2,0.0,0.0,2.0
42,2021.0,Kosovo,2,0.0,0.0,2.0
43,2021.0,Ukraine,1,6.0,12.0,19.0
44,2021.0,Belarus,1,3.0,3.0,7.0
45,2021.0,Romania,1,3.0,0.0,4.0
46,2021.0,Venezuela,1,3.0,0.0,4.0
47,2021.0,India,1,2.0,4.0,7.0
48,2021.0,"Hong Kong, China",1,2.0,3.0,6.0
49,2021.0,Philippines,1,2.0,1.0,4.0
50,2021.0,Slovakia,1,2.0,1.0,4.0
51,2021.0,South Africa,1,2.0,0.0,3.0
52,2021.0,Austria,1,1.0,5.0,7.0
53,2021.0,Egypt,1,1.0,4.0,6.0
54,2021.0,Indonesia,1,1.0,3.0,5.0
55,2021.0,Ethiopia,1,1.0,2.0,4.0
56,2021.0,Portugal,1,1.0,2.0,4.0
57,2021.0,Tunisia,1,1.0,0.0,2.0
58,2021.0,Estonia,1,0.0,1.0,2.0
59,2021.0,Fiji,1,0.0,1.0,2.0
60,2021.0,Latvia,1,0.0,1.0,2.0
61,2021.0,Thailand,1,0.0,1.0,2.0
62,2021.0,Bermuda,1,0.0,0.0,1.0
63,2021.0,Morocco,1,0.0,0.0,1.0
64,2021.0,Puerto Rico,1,0.0,0.0,1.0
65,2021.0,Colombia,0,4.0,1.0,5.0
66,2021.0,Azerbaijan,0,3.0,4.0,7.0
67,2021.0,Dominican Republic,0,3.0,2.0,5.0
68,2021.0,Armenia,0,2.0,2.0,4.0
69,2021.0,Kyrgyzstan,0,2.0,1.0,3.0
70,2021.0,Mongolia,0,1.0,3.0,4.0
71,2021.0,Argentina,0,1.0,2.0,3.0
72,2021.0,San Marino,0,1.0,2.0,3.0
73,2021.0,Jordan,0,1.0,1.0,2.0
